kickoff_order,espn_event_id,stage_zh,group,beijing_datetime,beijing_date,beijing_time,beijing_weekday,home_team,home_team_zh,away_team,away_team_zh,fixture,fixture_zh,home_score,away_score,result,status_state,status_zh,status_detail,venue,city,country,utc_datetime
42,760457,小组赛,I,2026-06-23T05:00:00+08:00,2026-06-23,05:00,周二,France,法国,Iraq,伊拉克,France vs Iraq,法国 vs 伊拉克,3,0,home_win,post,已完赛,FT,Lincoln Financial Field,"Philadelphia, Pennsylvania",USA,2026-06-22T21:00Z
43,760454,小组赛,I,2026-06-23T08:00:00+08:00,2026-06-23,08:00,周二,Norway,挪威,Senegal,塞内加尔,Norway vs Senegal,挪威 vs 塞内加尔,3,2,home_win,post,已完赛,FT,MetLife Stadium,"East Rutherford, New Jersey",USA,2026-06-23T00:00Z
44,760455,小组赛,J,2026-06-23T11:00:00+08:00,2026-06-23,11:00,周二,Jordan,约旦,Algeria,阿尔及利亚,Jordan vs Algeria,约旦 vs 阿尔及利亚,1,2,away_win,post,已完赛,FT,Levi's Stadium,"Santa Clara, California",USA,2026-06-23T03:00Z
45,760461,小组赛,K,2026-06-24T01:00:00+08:00,2026-06-24,01:00,周三,Portugal,葡萄牙,Uzbekistan,乌兹别克斯坦,Portugal vs Uzbekistan,葡萄牙 vs 乌兹别克斯坦,5,0,home_win,post,已完赛,FT,NRG Stadium,"Houston, Texas",USA,2026-06-23T17:00Z
46,760458,小组赛,L,2026-06-24T04:00:00+08:00,2026-06-24,04:00,周三,England,英格兰,Ghana,加纳,England vs Ghana,英格兰 vs 加纳,0,0,draw,post,已完赛,FT,Gillette Stadium,"Foxborough, Massachusetts",USA,2026-06-23T20:00Z
47,760460,小组赛,L,2026-06-24T07:00:00+08:00,2026-06-24,07:00,周三,Panama,巴拿马,Croatia,克罗地亚,Panama vs Croatia,巴拿马 vs 克罗地亚,0,1,away_win,post,已完赛,FT,BMO Field,Toronto,Canada,2026-06-23T23:00Z
48,760459,小组赛,K,2026-06-24T10:00:00+08:00,2026-06-24,10:00,周三,Colombia,哥伦比亚,Congo DR,刚果(金),Colombia vs Congo DR,哥伦比亚 vs 刚果(金),1,0,home_win,post,已完赛,FT,Estadio Akron,Guadalajara,Mexico,2026-06-24T02:00Z
49,760462,小组赛,B,2026-06-25T03:00:00+08:00,2026-06-25,03:00,周四,Bosnia-Herzegovina,波黑,Qatar,卡塔尔,Bosnia-Herzegovina vs Qatar,波黑 vs 卡塔尔,3,1,home_win,post,已完赛,FT,Lumen Field,"Seattle, Washington",USA,2026-06-24T19:00Z
50,760463,小组赛,B,2026-06-25T03:00:00+08:00,2026-06-25,03:00,周四,Switzerland,瑞士,Canada,加拿大,Switzerland vs Canada,瑞士 vs 加拿大,2,1,home_win,post,已完赛,FT,BC Place,Vancouver,Canada,2026-06-24T19:00Z
51,760464,小组赛,C,2026-06-25T06:00:00+08:00,2026-06-25,06:00,周四,Morocco,摩洛哥,Haiti,海地,Morocco vs Haiti,摩洛哥 vs 海地,4,2,home_win,post,已完赛,FT,Mercedes-Benz Stadium,"Atlanta, Georgia",USA,2026-06-24T22:00Z
52,760465,小组赛,C,2026-06-25T06:00:00+08:00,2026-06-25,06:00,周四,Scotland,苏格兰,Brazil,巴西,Scotland vs Brazil,苏格兰 vs 巴西,0,3,away_win,post,已完赛,FT,Hard Rock Stadium,"Miami Gardens, Florida",USA,2026-06-24T22:00Z
53,760467,小组赛,A,2026-06-25T09:00:00+08:00,2026-06-25,09:00,周四,Czechia,捷克,Mexico,墨西哥,Czechia vs Mexico,捷克 vs 墨西哥,0,3,away_win,post,已完赛,FT,Estadio Banorte,Mexico City,Mexico,2026-06-25T01:00Z
54,760466,小组赛,A,2026-06-25T09:00:00+08:00,2026-06-25,09:00,周四,South Africa,南非,South Korea,韩国,South Africa vs South Korea,南非 vs 韩国,1,0,home_win,post,已完赛,FT,Estadio BBVA,Guadalupe,Mexico,2026-06-25T01:00Z
55,760473,小组赛,E,2026-06-26T04:00:00+08:00,2026-06-26,04:00,周五,Curaçao,库拉索,Ivory Coast,科特迪瓦,Curaçao vs Ivory Coast,库拉索 vs 科特迪瓦,0,2,away_win,post,已完赛,FT,Lincoln Financial Field,"Philadelphia, Pennsylvania",USA,2026-06-25T20:00Z
56,760468,小组赛,E,2026-06-26T04:00:00+08:00,2026-06-26,04:00,周五,Ecuador,厄瓜多尔,Germany,德国,Ecuador vs Germany,厄瓜多尔 vs 德国,2,1,home_win,post,已完赛,FT,MetLife Stadium,"East Rutherford, New Jersey",USA,2026-06-25T20:00Z
57,760471,小组赛,F,2026-06-26T07:00:00+08:00,2026-06-26,07:00,周五,Japan,日本,Sweden,瑞典,Japan vs Sweden,日本 vs 瑞典,1,1,draw,post,已完赛,FT,AT&T Stadium,"Arlington, Texas",USA,2026-06-25T23:00Z
58,760472,小组赛,F,2026-06-26T07:00:00+08:00,2026-06-26,07:00,周五,Tunisia,突尼斯,Netherlands,荷兰,Tunisia vs Netherlands,突尼斯 vs 荷兰,1,3,away_win,post,已完赛,FT,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri",USA,2026-06-25T23:00Z
59,760469,小组赛,D,2026-06-26T10:00:00+08:00,2026-06-26,10:00,周五,Paraguay,巴拉圭,Australia,澳大利亚,Paraguay vs Australia,巴拉圭 vs 澳大利亚,0,0,draw,post,已完赛,FT,Levi's Stadium,"Santa Clara, California",USA,2026-06-26T02:00Z
60,760470,小组赛,D,2026-06-26T10:00:00+08:00,2026-06-26,10:00,周五,Türkiye,土耳其,United States,美国,Türkiye vs United States,土耳其 vs 美国,3,2,home_win,post,已完赛,FT,SoFi Stadium,"Inglewood, California",USA,2026-06-26T02:00Z
61,760475,小组赛,I,2026-06-27T03:00:00+08:00,2026-06-27,03:00,周六,Norway,挪威,France,法国,Norway vs France,挪威 vs 法国,1,4,away_win,post,已完赛,FT,Gillette Stadium,"Foxborough, Massachusetts",USA,2026-06-26T19:00Z
62,760474,小组赛,I,2026-06-27T03:00:00+08:00,2026-06-27,03:00,周六,Senegal,塞内加尔,Iraq,伊拉克,Senegal vs Iraq,塞内加尔 vs 伊拉克,5,0,home_win,post,已完赛,FT,BMO Field,Toronto,Canada,2026-06-26T19:00Z
63,760478,小组赛,H,2026-06-27T08:00:00+08:00,2026-06-27,08:00,周六,Cape Verde,佛得角,Saudi Arabia,沙特阿拉伯,Cape Verde vs Saudi Arabia,佛得角 vs 沙特阿拉伯,0,0,draw,post,已完赛,FT,NRG Stadium,"Houston, Texas",USA,2026-06-27T00:00Z
64,760479,小组赛,H,2026-06-27T08:00:00+08:00,2026-06-27,08:00,周六,Uruguay,乌拉圭,Spain,西班牙,Uruguay vs Spain,乌拉圭 vs 西班牙,0,1,away_win,post,已完赛,FT,Estadio Akron,Guadalajara,Mexico,2026-06-27T00:00Z
65,760476,小组赛,G,2026-06-27T11:00:00+08:00,2026-06-27,11:00,周六,Egypt,埃及,Iran,伊朗,Egypt vs Iran,埃及 vs 伊朗,1,1,draw,post,已完赛,FT,Lumen Field,"Seattle, Washington",USA,2026-06-27T03:00Z
66,760477,小组赛,G,2026-06-27T11:00:00+08:00,2026-06-27,11:00,周六,New Zealand,新西兰,Belgium,比利时,New Zealand vs Belgium,新西兰 vs 比利时,1,5,away_win,post,已完赛,FT,BC Place,Vancouver,Canada,2026-06-27T03:00Z
67,760480,小组赛,L,2026-06-28T05:00:00+08:00,2026-06-28,05:00,周日,Croatia,克罗地亚,Ghana,加纳,Croatia vs Ghana,克罗地亚 vs 加纳,2,1,home_win,post,已完赛,FT,Lincoln Financial Field,"Philadelphia, Pennsylvania",USA,2026-06-27T21:00Z
68,760485,小组赛,L,2026-06-28T05:00:00+08:00,2026-06-28,05:00,周日,Panama,巴拿马,England,英格兰,Panama vs England,巴拿马 vs 英格兰,0,2,away_win,post,已完赛,FT,MetLife Stadium,"East Rutherford, New Jersey",USA,2026-06-27T21:00Z
69,760481,小组赛,K,2026-06-28T07:30:00+08:00,2026-06-28,07:30,周日,Colombia,哥伦比亚,Portugal,葡萄牙,Colombia vs Portugal,哥伦比亚 vs 葡萄牙,0,0,draw,post,已完赛,FT,Hard Rock Stadium,"Miami Gardens, Florida",USA,2026-06-27T23:30Z
70,760482,小组赛,K,2026-06-28T07:30:00+08:00,2026-06-28,07:30,周日,Congo DR,刚果(金),Uzbekistan,乌兹别克斯坦,Congo DR vs Uzbekistan,刚果(金) vs 乌兹别克斯坦,3,1,home_win,post,已完赛,FT,Mercedes-Benz Stadium,"Atlanta, Georgia",USA,2026-06-27T23:30Z
71,760484,小组赛,J,2026-06-28T10:00:00+08:00,2026-06-28,10:00,周日,Algeria,阿尔及利亚,Austria,奥地利,Algeria vs Austria,阿尔及利亚 vs 奥地利,3,3,draw,post,已完赛,FT,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri",USA,2026-06-28T02:00Z
72,760483,小组赛,J,2026-06-28T10:00:00+08:00,2026-06-28,10:00,周日,Jordan,约旦,Argentina,阿根廷,Jordan vs Argentina,约旦 vs 阿根廷,1,3,away_win,post,已完赛,FT,AT&T Stadium,"Arlington, Texas",USA,2026-06-28T02:00Z
73,760486,1/16决赛,,2026-06-29T03:00:00+08:00,2026-06-29,03:00,周一,South Africa,南非,Canada,加拿大,South Africa vs Canada,南非 vs 加拿大,0,1,away_win,post,已完赛,FT,SoFi Stadium,"Inglewood, California",USA,2026-06-28T19:00Z
74,760487,1/16决赛,,2026-06-30T01:00:00+08:00,2026-06-30,01:00,周二,Brazil,巴西,Japan,日本,Brazil vs Japan,巴西 vs 日本,2,1,home_win,post,已完赛,FT,NRG Stadium,"Houston, Texas",USA,2026-06-29T17:00Z
75,760489,1/16决赛,,2026-06-30T04:30:00+08:00,2026-06-30,04:30,周二,Germany,德国,Paraguay,巴拉圭,Germany vs Paraguay,德国 vs 巴拉圭,1,1,draw,post,已完赛,FT-Pens,Gillette Stadium,"Foxborough, Massachusetts",USA,2026-06-29T20:30Z
